Batch Name,Ballot Number,Storage Location,Tabulator,Times Selected,Audit Board
2,9,,,1,Audit Board #1
2,21,,,1,Audit Board #1
2,44,,,1,Audit Board #1
2,46,,,1,Audit Board #1
2,62,,,1,Audit Board #1
2,70,,,1,Audit Board #1
2,77,,,1,Audit Board #1
2,85,,,1,Audit Board #1
2,131,,,1,Audit Board #1
2,136,,,1,Audit Board #1
2,149,,,1,Audit Board #1
2,154,,,1,Audit Board #1
2,157,,,1,Audit Board #1
2,191,,,1,Audit Board #1
2,202,,,1,Audit Board #1
2,204,,,1,Audit Board #1
2,226,,,1,Audit Board #1
2,251,,,1,Audit Board #1
2,255,,,1,Audit Board #1
2,260,,,1,Audit Board #1
8,1,,,1,Audit Board #1
8,19,,,1,Audit Board #1
8,22,,,1,Audit Board #1
8,23,,,1,Audit Board #1
8,48,,,1,Audit Board #1
8,59,,,1,Audit Board #1
3,36,,,1,Audit Board #2
3,37,,,1,Audit Board #2
3,46,,,1,Audit Board #2
3,54,,,1,Audit Board #2
3,73,,,1,Audit Board #2
3,82,,,1,Audit Board #2
3,91,,,1,Audit Board #2
8,67,,,1,Audit Board #2
8,72,,,1,Audit Board #2
8,77,,,1,Audit Board #2
8,80,,,1,Audit Board #2
8,94,,,1,Audit Board #2
8,95,,,1,Audit Board #2
8,100,,,1,Audit Board #2
8,112,,,1,Audit Board #2
8,117,,,1,Audit Board #2
8,120,,,1,Audit Board #2
8,125,,,2,Audit Board #2
8,150,,,1,Audit Board #2
8,161,,,1,Audit Board #2
8,163,,,1,Audit Board #2
8,193,,,1,Audit Board #2
8,201,,,1,Audit Board #2
8,212,,,1,Audit Board #2
1,10,,,1,Audit Board #3
1,14,,,1,Audit Board #3
1,32,,,1,Audit Board #3
1,33,,,1,Audit Board #3
1,40,,,1,Audit Board #3
1,49,,,2,Audit Board #3
1,51,,,1,Audit Board #3
1,52,,,1,Audit Board #3
1,88,,,1,Audit Board #3
1,90,,,1,Audit Board #3
1,108,,,1,Audit Board #3
1,117,,,1,Audit Board #3
3,100,,,1,Audit Board #3
3,120,,,1,Audit Board #3
3,131,,,1,Audit Board #3
3,141,,,1,Audit Board #3
3,145,,,1,Audit Board #3
3,152,,,1,Audit Board #3
5,60,,,1,Audit Board #3
5,78,,,1,Audit Board #3
5,101,,,1,Audit Board #3
5,107,,,1,Audit Board #3
5,115,,,1,Audit Board #3
5,120,,,1,Audit Board #3
5,129,,,1,Audit Board #3
5,131,,,1,Audit Board #4
5,134,,,1,Audit Board #4
5,155,,,1,Audit Board #4
5,156,,,1,Audit Board #4
5,169,,,1,Audit Board #4
5,181,,,1,Audit Board #4
5,184,,,1,Audit Board #4
5,189,,,1,Audit Board #4
5,199,,,1,Audit Board #4
5,200,,,1,Audit Board #4
5,206,,,1,Audit Board #4
7,36,,,1,Audit Board #4
7,52,,,1,Audit Board #4
7,59,,,1,Audit Board #4
7,66,,,1,Audit Board #4
7,69,,,1,Audit Board #4
7,70,,,1,Audit Board #4
7,71,,,1,Audit Board #4
7,74,,,1,Audit Board #4
7,76,,,1,Audit Board #4
9,9,,,1,Audit Board #4
9,22,,,1,Audit Board #4
9,26,,,1,Audit Board #4
9,57,,,1,Audit Board #4
9,67,,,1,Audit Board #4
10,29,,,1,Audit Board #5
10,36,,,2,Audit Board #5
4,2,,,1,Audit Board #5
4,15,,,1,Audit Board #5
4,32,,,1,Audit Board #5
4,50,,,1,Audit Board #5
4,53,,,1,Audit Board #5
4,85,,,1,Audit Board #5
4,111,,,1,Audit Board #5
4,149,,,1,Audit Board #5
4,185,,,1,Audit Board #5
4,200,,,1,Audit Board #5
4,213,,,1,Audit Board #5
9,108,,,1,Audit Board #5
9,119,,,1,Audit Board #5
9,125,,,1,Audit Board #5
9,155,,,1,Audit Board #5
9,193,,,1,Audit Board #5
9,212,,,1,Audit Board #5
9,218,,,1,Audit Board #5
9,224,,,1,Audit Board #5
9,238,,,1,Audit Board #5
9,262,,,1,Audit Board #5
9,272,,,1,Audit Board #5
9,273,,,1,Audit Board #5
9,314,,,1,Audit Board #5
10,47,,,2,Audit Board #6
10,71,,,1,Audit Board #6
10,90,,,2,Audit Board #6
10,126,,,1,Audit Board #6
10,132,,,1,Audit Board #6
10,133,,,1,Audit Board #6
6,10,,,1,Audit Board #6
6,20,,,2,Audit Board #6
6,63,,,1,Audit Board #6
6,70,,,1,Audit Board #6
6,117,,,1,Audit Board #6
6,142,,,1,Audit Board #6
6,143,,,1,Audit Board #6
6,184,,,1,Audit Board #6
6,191,,,1,Audit Board #6
6,196,,,2,Audit Board #6
6,231,,,1,Audit Board #6
6,240,,,1,Audit Board #6
6,241,,,1,Audit Board #6
6,251,,,1,Audit Board #6
